date,close,open,high,low,volume,SMA_7d,ATR_7d,BB_Upper_7d,BB_Lower_7d,Return_Std_7d,SMA_14d,ATR_14d,BB_Upper_14d,BB_Lower_14d,Return_Std_14d,SMA_30d,ATR_30d,BB_Upper_30d,BB_Lower_30d,Return_Std_30d,SMA_50d,ATR_50d,BB_Upper_50d,BB_Lower_50d,Return_Std_50d
2025-01-06,102280.873054768,102047.45542071,102383.400987382,101640.113923497,6498.48415850902,,,,,,,,,,,,,,,,,,,,
2025-01-07,96974.6350092362,97182.0548011264,102713.731333029,96177.4224475258,11037.8508317028,,,,,,,,,,,,,,,,,,,,
2025-01-08,95087.2717455432,95301.1656557853,97292.1157148887,92645.2494488019,6860.54259022887,,,,,,,,,,,,,,,,,,,,
2025-01-09,92580.9812772829,92521.9729967121,95376.2465713125,91266.6771300354,12987.6224730506,,,,,,,,,,,,,,,,,,,,
2025-01-10,94735.7250634323,94783.6973360355,95784.3328692769,92324.8196412634,5015.9884451796,,,,,,,,,,,,,,,,,,,,
2025-01-11,94586.6264930777,94572.9651542271,95005.1375728315,93859.2806108064,4172.73919013009,,,,,,,,,,,,,,,,,,,,
2025-01-12,94524.0668166653,93939.6444056601,95365.1848943437,93696.0857058647,9827.54324873689,95824.31135142937,3187.2144336099614,102068.26152539396,89580.36117746477,,,,,,,,,,,,,,,,
2025-01-13,94542.5674780612,94404.1124974937,95869.0459107885,89669.6038185143,8616.87905083001,94718.83912618554,3966.665151951275,97285.49286271069,92152.1853896604,2.4063576150992696,,,,,,,,,,,,,,,
2025-01-14,96554.039485471,96687.5119824488,97369.8953359744,94368.8944179765,4975.54610002479,94658.75405136193,3461.621156593375,96987.65091240223,92329.85719032164,1.857083233861428,,,,,,,,,,,,,,,
2025-01-15,100509.313317077,99726.8037985134,100704.47992635,96498.0169934287,11405.0520273599,95433.33141872392,3398.7063947125903,100465.31356662925,90401.34927081858,2.2000229585249715,,,,,,,,,,,,,,,
2025-01-16,99993.5161111163,99825.0585332127,100843.365180115,97371.8704506316,7838.76200777141,96492.26496641441,3307.552864456348,101833.3801930088,91151.14973982003,1.7439947040847659,,,,,,,,,,,,,,,
