date,open,high,low,close,volume
2025-01-08 05:00:00,96295.0196239618,96664.9488207208,96138.5813901616,96516.6397310106,9680.28824488248
2025-01-09 22:00:00,92145.9933511333,92718.1233291615,91708.3196733322,92521.9729967121,14671.6924042424
2025-01-10 05:00:00,93854.6453949605,94253.9891215665,93664.4562043476,93983.9445344777,10137.0582829363
2025-01-14 04:00:00,94870.0819143186,95150.2194013688,94835.4323417552,95121.4837611591,7262.35050773846
2025-01-14 07:00:00,95017.2705862221,95165.0526319783,94852.5425683367,94861.8419366613,7142.74477220591
2025-01-16 20:00:00,100406.181673666,100636.273044775,100286.276578681,100340.727880754,19231.376090716
2025-01-18 03:00:00,104338.128847069,104482.62867534,103084.521691185,103573.629397658,15802.3181100473
2025-01-19 05:00:00,104920.629600367,105027.549096802,104174.1620476,105012.465123564,11462.0323029548
2025-01-19 07:00:00,105447.186502578,105462.378572976,104814.755358534,105014.305870778,10880.5594791451
2025-01-20 03:00:00,101825.870457093,102148.190612038,101418.683753797,101878.542715463,18492.0549283224
2025-01-20 06:00:00,102336.927472673,109134.786742258,102233.967615124,107505.261199759,57032.7780816309
2025-01-23 00:00:00,103692.100401351,103810.051857048,103068.744350412,103296.567217603,13955.8877328841
2025-01-23 06:00:00,102500.706361108,102924.16743464,102229.493371952,102246.82871628,13138.463211577
2025-01-23 15:00:00,105163.940906755,105766.431258116,102927.333996064,105247.531922696,81252.9742185931
2025-01-24 00:00:00,103962.596578763,104195.586216161,103464.598855981,103476.360673054,11587.9279879729
2025-01-24 11:00:00,105457.477216398,105547.647708844,105267.351465897,105467.822896058,6186.04135100714
2025-01-26 04:00:00,105095.307501854,105485.726407884,105021.354430525,105203.762641644,5458.86604562475
2025-01-27 02:00:00,101268.905859678,101621.922077168,100849.653097433,100950.733526101,24009.5878649075
2025-01-27 23:00:00,101634.763823287,102167.052818254,101634.763823287,102090.565306229,10903.653680931
2025-01-29 13:00:00,102204.254660936,102293.151306327,101691.935125364,101816.500060129,16487.4628994908
2025-01-30 12:00:00,105305.564905462,105314.474216279,104869.131762255,105021.43617938,6141.60617211007
2025-01-30 13:00:00,105021.43617938,105345.899545235,104829.374781392,104865.515327663,10172.120452944
2025-01-30 17:00:00,105763.551115748,105764.11582077,104949.127341071,105360.437833665,11880.8651957038
2025-01-31 20:00:00,102330.162509666,102330.30854812,101582.662284657,101681.921151167,26755.619685457
2025-02-01 07:00:00,102438.165537131,102523.943723001,102201.07033205,102206.540294358,3506.92977339505
2025-02-07 14:00:00,98861.1325529761,100180.304039999,98745.6665869437,99786.9412611617,35738.7849511414
2025-02-07 20:00:00,96929.1190196953,96952.1569373369,95683.2562372177,95757.7249360509,27599.9697468903
2025-02-08 14:00:00,96259.7227271492,96378.0194160955,95968.0514377105,96087.7478563215,7674.82397220299
2025-02-08 17:00:00,96132.2190651765,96383.9222694696,96129.1190500511,96374.8843811159,6467.05169991327
2025-02-09 07:00:00,97035.4142086633,97200.1496355738,96962.3388091186,97108.8695405216,3202.8599911328
2025-02-09 17:00:00,96528.3969529598,96642.5349666679,96016.9849064999,96249.3119807543,7021.9666885824
2025-02-10 21:00:00,97407.8880381136,97434.0571006039,97193.1813006576,97433.1207225197,6202.11021513259
2025-02-11 16:00:00,97057.0731806255,97095.8582603147,96364.6436429624,96410.9418626829,14836.2272375328
2025-02-12 12:00:00,96150.4158573202,96387.8974498011,96024.9883172322,96035.118172322,6798.43184575156
2025-02-13 20:00:00,95686.2005142091,96348.9437805833,95670.1077213895,96335.8383425949,10457.0625693531
2025-02-15 02:00:00,97851.5358516308,97955.6871080453,97683.3444393154,97892.5609376044,5296.26191161585
2025-02-15 23:00:00,97607.5551949178,97702.896620142,97495.8003496227,97642.7920403064,5827.7841806963
2025-02-17 11:00:00,96169.2641729873,96351.0032129176,96056.7499440443,96125.2631412417,6853.64886935075
2025-02-17 13:00:00,96508.9144743413,96530.1246365729,96319.5514137855,96464.648310007,5190.56608267015
2025-02-18 00:00:00,95837.3362085539,96097.6115474186,95617.6288277647,95689.8817327303,6577.79262891307
2025-02-18 03:00:00,96121.0498620676,96342.7628481641,96070.2671592533,96261.3845016782,4269.53502912516
2025-02-18 21:00:00,94214.8744718,95339.958406902,94170.7715903824,95061.0562490478,18222.6987793869
2025-02-19 01:00:00,95357.6635039851,95492.9917746325,95085.3397326113,95492.9351878162,6671.06252545149
2025-02-20 14:00:00,97588.6408013853,98075.4957433572,96974.4578915779,97024.2228327622,22083.6923340605
2025-02-25 06:00:00,92118.8570899989,92164.7813399062,91288.8991122144,91331.0756827289,13900.70396163
2025-02-25 10:00:00,88356.594984265,88868.5187286891,87000.6692107863,88246.8350790371,44129.2819228632
2025-02-26 03:00:00,88995.1477338756,89379.0785791606,88887.8258951544,88888.5702429375,9400.01920260681
2025-02-26 22:00:00,84540.0199068242,85317.157051244,84172.0738685103,84403.4883794374,19673.1178383148
2025-02-28 13:00:00,80798.7406385556,81755.9910464242,80662.0353730035,81536.3478436145,31033.6296666823
2025-02-28 22:00:00,84276.8872399454,84475.3252628297,83943.9556807508,84178.4035755387,7513.50334521918
2025-02-28 23:00:00,84178.4035755387,84562.4259309562,84050.4451407806,84391.4997334327,6719.96969740789
2025-03-02 18:00:00,94181.9805728793,94462.2440244963,92434.7651856216,92868.7570262052,34137.67724327
2025-03-03 14:00:00,93653.5932542745,93778.1612102905,89347.9680428084,89347.9680428084,44192.2308980971
2025-03-04 12:00:00,83983.9795236425,83995.5241629933,83346.2308826709,83810.6110776098,12251.058162843
2025-03-05 14:00:00,89546.8771591479,89874.5032509145,88284.6336779597,88583.3335185962,26962.8383645163
2025-03-07 01:00:00,85592.3143570954,88862.6096015824,85343.9449585791,88340.7473008833,39360.8210266191
2025-03-08 06:00:00,86307.4982316342,86673.6428114979,86307.4976302996,86508.7098043555,5628.79968349666
2025-03-08 13:00:00,86237.4897637739,86548.6777946735,86165.8995465629,86359.9771939438,7510.48819413232
2025-03-08 19:00:00,86087.4069980811,86537.9698858448,85872.8682458542,86278.5403332636,5751.99658674199
2025-03-11 15:00:00,79802.1165481179,81646.9998105491,79748.2296697324,81235.4593506381,29296.4173690299
2025-03-11 18:00:00,81333.1629124083,83487.8862730279,81322.235481,83309.0854726711,25509.1522199281
2025-03-11 20:00:00,83168.3877894618,83185.3474852011,82648.1839018577,82838.9745497247,10100.2425050541
2025-03-12 18:00:00,81882.2294708939,82828.6274524379,81809.1024372941,82653.5094453254,11976.853327259
2025-03-14 14:00:00,83620.3533543656,83620.5646739708,82700.0656558935,83526.6525306182,25713.2251170205
2025-03-14 21:00:00,84177.8796705295,84333.1719968216,84003.0120119665,84248.9325608872,4834.49471808841
2025-03-15 10:00:00,84004.088713728,84024.4902674914,83716.8793524784,83953.5179986642,4401.74620019835
2025-03-19 04:00:00,83076.1601580565,83106.9436475477,82832.1390827532,82990.8219364753,4753.41289115159
2025-03-20 15:00:00,86136.9184758218,86179.7762765061,84612.4606189289,84688.9723993952,21389.8078782403
2025-03-21 23:00:00,84177.6785885096,84217.75807877,84042.82128465,84083.6973845409,3744.62581179071
2025-03-22 07:00:00,84321.7548732589,84371.0651539675,84215.8460734306,84267.8073973568,2887.9232438309
2025-03-22 13:00:00,84232.0591517253,84242.5077231877,84059.5303474493,84176.8711598361,3181.13180515404
2025-03-22 19:00:00,84249.4334436733,84281.8475026896,84172.2459592241,84186.5099610215,2359.91486421438
2025-03-26 21:00:00,87301.7103866059,87318.5346733811,86789.5790405964,87151.6538858079,5925.82522259398
2025-03-26 22:00:00,87151.6538858079,87156.7528218921,86798.9627911668,86860.7108094573,5239.81098555374
2025-03-27 21:00:00,87308.1953126679,87714.5210123599,87241.64728743,87563.1184687941,5181.86532842585
2025-03-28 02:00:00,87229.9314778836,87325.4980695773,86954.9039310078,86980.9814086573,4881.49349521462
2025-03-28 15:00:00,84181.2490840508,84504.835750568,83971.8795571016,84058.9140182897,19106.9508750695
2025-03-30 12:00:00,83142.9731465502,83298.8646821053,83018.8359449233,83105.0951950999,3552.84806210652
2025-04-01 05:00:00,83467.1776021601,84205.6210230957,83449.8377809201,84123.9734750655,10788.3578038238
2025-04-02 00:00:00,84735.9829586158,84911.0713481716,84536.7977752426,84572.4129787,5266.82698605731
2025-04-04 03:00:00,83213.4042004311,83272.0118347525,83059.5563126672,83076.5497798567,4441.40435080546
2025-04-05 23:00:00,83431.3066561539,83484.4526426683,83277.9921201137,83298.7386978621,2603.82684302282
2025-04-06 14:00:00,81939.1505217629,81939.1505217629,80581.8429785171,80761.9534039472,20305.6070397902
2025-04-07 03:00:00,76903.506290169,77245.9928401086,74605.1636498766,74781.2565008114,47574.0727644909
2025-04-08 08:00:00,78986.1698230232,80015.0991905064,78972.2125205839,79964.1896333225,12153.8264145585
2025-04-13 13:00:00,83818.0214348112,84387.1792476949,83814.8070529613,84205.7490840927,7866.83279589953
2025-04-14 02:00:00,84867.7257770136,84981.0808671543,84353.432174189,84567.4991448042,5860.16511858107
2025-04-18 08:00:00,84519.7435808894,84658.1970382083,84471.3484967264,84657.0683239624,2976.31406429974
2025-04-20 09:00:00,84110.1158296262,84462.2927020596,84082.7637857071,84347.5799516389,4915.37032643258
2025-04-22 02:00:00,88073.7835825481,88412.4830555725,87982.6687460575,88395.3145496544,5585.24263629038
2025-04-22 15:00:00,91464.3922302354,91647.616692923,91202.8470798279,91560.3879251026,14250.5412600305
2025-04-23 05:00:00,94164.4739078716,94490.4978725258,93943.9330140996,94305.8522354049,12689.3302670207
2025-04-23 06:00:00,94305.8522354049,94405.2944679955,93945.9945665615,93945.9945665615,8260.22176591986
2025-04-23 10:00:00,93758.1920917018,94319.0825282042,92964.401791831,93023.6910412626,29627.5818173828
2025-04-24 22:00:00,93942.5164523467,94456.126335346,93666.341770671,93713.1508176356,11772.495123945
2025-04-26 17:00:00,94350.4185726694,94423.0515430945,94133.4086296104,94136.4674125258,2613.50670274759
2025-04-29 06:00:00,95068.8237696649,95123.6768222032,94839.9975916341,95028.3335696435,4502.31129328612
2025-04-30 03:00:00,94939.4896261562,95007.1935985961,94805.4078826257,94805.8360215349,3650.17998420933
2025-04-30 15:00:00,94145.1148628708,94503.6369988149,94053.7007299705,94115.0165236718,7022.06563640613
2025-04-30 18:00:00,94602.1253370595,94602.1253370595,94602.1253370595,94602.1253370595,0.0
